var_name,dtype
PID,int64
CM_ID,object
GIS_ID,float64
ST_NUM,object
ST_NAME,object
UNIT_NUM,object
CITY,object
ZIPCODE,int64
BLDG_SEQ,float64
NUM_BLDGS,int64
LUC,int64
LU,object
LU_DESC,object
BLDG_TYPE,object
OWN_OCC,object
OWNER,object
MAIL_ADDRESSEE,object
MAIL_ADDRESS,object
MAIL_CITY,object
MAIL_STATE,object
MAIL_ZIPCODE,object
RES_FLOOR,float64
CD_FLOOR,float64
RES_UNITS,int64
COM_UNITS,int64
RC_UNITS,int64
LAND_SF,float64
GROSS_AREA,float64
LIVING_AREA,float64
LAND_VALUE,object
BLDG_VALUE,object
TOTAL_VALUE,object
GROSS_TAX,object
YR_BUILT,float64
YR_REMODEL,float64
STRUCTURE_CLASS,object
ROOF_STRUCTURE,object
ROOF_COVER,object
INT_WALL,object
EXT_FINISHED,object
INT_COND,object
EXT_COND,object
OVERALL_COND,object
BED_RMS,int64
FULL_BTH,int64
HLF_BTH,int64
KITCHEN,int64
TT_RMS,int64
BDRM_COND,object
BTHRM_STYLE1,object
BTHRM_STYLE2,object
BTHRM_STYLE3,object
KITCHEN_TYPE,object
KITCHEN_STYLE1,object
KITCHEN_STYLE2,object
KITCHEN_STYLE3,object
HEAT_TYPE,object
HEAT_FUEL,object
AC_TYPE,object
FIRE_PLACE,int64
ORIENTATION,object
NUM_PARKING,int64
PROP_VIEW,object
CORNER_UNIT,object
